id,description,code,model_code,confidence
39,CARROTS IMPORTED KG,01.1.7,01.1.7,1.0
40,جمبري منظف 31/40 نقوا,01.1.3,01.1.3,1.0
41,موز الشربتلي Banana Sharbatly,01.1.6,01.1.6,1.0
42,تيشوب ميموريز بسكويت 12X,01.1.8,01.1.8,1.0
43,بيض الوطنية 30 بيضةنية 30 بيضة,01.1.4,01.1.4,1.0
44,الوطنية زيت زيتون العضوي,01.1.5,01.1.5,1.0
45,زيت زيتون الباشا 500ملي,01.1.5,01.1.5,1.0
46,قودي تونة خفيفة في محلول مالح 185ج,01.1.3,01.1.3,1.0
47,بسكويت بالسمسم 58جم,01.1.8,01.1.8,1.0
48,قطع دجاج التنمية طازج 800ج,01.1.2,01.1.2,1.0
49,لوز أمريكي 900 جرام,01.1.6,01.1.6,1.0
50,الفروج دجاج قطع متنوعه 8,01.1.2,01.1.2,1.0
51,شراب الطاقة بايسنن,01.2.6,01.2.6,0.95
52,باذنجان اسود كبير كيلو,01.1.7,01.1.7,1.0
53,قودي تونا بزيت دوارالشمس,01.1.3,01.1.9,1.0
54,شرائح اللوز طويلة رفيعة,01.1.6,01.1.6,1.0
55,لحم بقري مفروم كيلو,01.1.2,01.1.2,1.0
56,أبو قوس حليب مبخر 170 جم,01.1.4,01.1.4,1.0
57,زيت زيتون كوبوليفا زجاج 250مل,01.1.5,01.1.5,1.0
58,CARROTS AUSTRALIAN KG,01.1.7,01.1.7,1.0
59,اكتيفيا ﻻ يت لبن,01.1.4,01.1.4,1.0
60,سكر الاسرة ناعم 1ك,01.1.8,01.1.8,1.0
61,Entaj Premium White Egg 30s,01.1.4,01.1.4,1.0
62,قودي زبدة فول سوداني خشنة 510ج,01.1.5,01.1.1,1.0
63,لوز امريكي نيء كبير,01.1.6,01.1.6,1.0
64,لبن المراعي طازج 180مل,01.1.4,01.1.4,1.0
65,تيشوب بسكويت نخاله,01.1.1,01.1.8,1.0
66,حلوى بورقات مارشملو تويدلز150ج,01.1.8,01.1.8,1.0
67,هرفي خبز نخالة توست,0.0.0,01.1.1,1.0
68,جالكسي شكوﻻ تة36جم,01.1.8,01.1.8,1.0
69,بوك كريمة للطبخ 1ل,01.1.4,01.1.4,1.0
70,بسكويت اولكر كات كات 24ج,01.1.8,01.1.8,1.0
71,علف بياض 19% مكعبات - بياض 19 % / الوسام,09.3.2,01.1.9,0.95
72,داري ذرة مجمدة 400ج,01.1.7,01.1.9,0.98
73,سمك دينيس 300/400 كيلو,01.1.3,01.1.3,1.0
74,زيت دوار الشمس أبو زهرة ,01.1.5,01.1.5,1.0
75,فارم سمن 400جم,01.1.5,01.1.1,1.0
76,أبو ولد جبنة مثلثات4X120,0.0.0,01.1.4,1.0
77,ميزا عسل طبيعي 500جم,01.1.8,01.1.8,1.0
78,هناء شوفان ابيض 900جم,0.0.0,01.1.1,0.99
79,مالتيزرس شوكولا تة,01.1.8,01.1.8,1.0
80,زيت زيتون بيتوتي مزيج 500مل,01.1.5,01.1.5,1.0
81,ليزا زيت طبخ,01.1.5,01.1.5,1.0
82,بسكويت تويكس 50ج,01.1.8,01.1.8,1.0
83,TANMIAH FRESH CHKN WINGS 450GM,01.1.2,01.1.9,1.0
84,لونا فاصوليا مطبوخة 380ج,01.1.9,01.1.9,1.0
85,Lulu Vegetable Ghee 500ml,01.1.5,01.1.5,1.0
86,حليب ابوقوس 170جمم,01.1.4,01.1.4,1.0
87,لحوم طازجة,01.1.2,01.1.2,1.0
88,هناء حبوب شوفان كاملة 450ج,01.1.1,01.1.1,1.0
89,بسكويت شاي ميموريز 75ج93مجانا,01.1.1,01.1.8,0.98
90,لبنة تركية داري,01.1.4,01.1.9,0.95
91,كاكاو الكسيح بودرة 200ج,01.2.4,01.2.4,0.99
92,هناء تونا بزيت دوار الشم,01.1.3,01.1.1,0.95
93,ثمار بيروت خيار طازج 700ج,01.1.7,01.1.6,0.95
94,سمك سي باس وسط 800/1400 ,01.1.3,01.1.3,1.0
95,002024638-لبن المراعي كامل الدسم 1 لتر,01.1.4,01.1.4,1.0
96,لوز بدون ملح,01.1.6,01.1.6,1.0
97,لوزين خبز أسمر توست,01.1.1,01.1.1,1.0
98,عسل هالي زهور ضغاط 300ج,01.1.8,01.1.8,0.95
99,كويكر الشوفان الأبيض 500ج,01.1.1,01.1.1,1.0
100,ساديا صدور شرائح 1.5ك,01.1.2,01.1.2,1.0
101,EGGPLANT ROUND BIG #1576;#1575;#1584;#1606;#1580;#1575;#1606; #1605;#1583;#1608;#1585;,01.1.7,01.1.7,1.0
102,السعودية مفروم غنم مجمد 400ج,01.1.2,01.1.2,1.0
103,السعودية مفروم لحم غنم 4,01.1.2,01.1.2,1.0
104,جرين فارمز تونة قطع بزيت دوار الشمس 80جم,01.1.3,01.1.9,1.0
105,DRISCOLL'S BLUE BERRIES 125G,01.1.6,01.1.6,1.0
106,توت طازج كولومبيا 170ج,01.1.6,01.1.6,1.0
107,شبيهه قشطة بوك 160ج,01.1.4,01.1.4,1.0
108,لبن صغير,01.1.4,01.1.4,1.0
109,السعودية حليب ك الدسم 1 ,01.1.4,01.1.4,1.0
110,شبيه حليب ابو قوس بوفية علب 405 جرام,01.1.4,01.1.4,0.95
111,Milma Ghee 500ml,01.1.5,01.1.5,1.0
112,قودى تونة بزيت دوار الشمس 185-195ج,01.1.3,01.1.9,1.0
113,زيت نور دوار الشمس 1.5ل,01.1.5,01.1.5,1.0
114,باجة لوز مملح 15 جرام,01.1.6,01.1.6,1.0
115,باجة مكسرات كاجو 15جم,01.1.6,01.1.6,1.0
116,هناء شوفان كامل تقليدي 900ج,01.1.1,01.1.1,0.95
117,لحم بقري برازيلي مبرد مفروم بالكيلو,01.1.2,01.1.2,1.0
118,Cream Long Life (1 * 170 Gm) (Nadec),01.1.4,01.1.4,1.0
119,دانيت حلى شوكولاته 75 ج,01.1.8,01.1.8,1.0
120,تونة كاتش مي خفيف 160ج,01.1.3,01.1.3,1.0
121,بسكويت شاي ميموريز 75ج,01.1.1,01.1.9,0.98
122,الخير تونا بيضاء ماء ومل,01.1.3,01.1.3,1.0
123,شوكولاته جالكسي بالحليب 36ج,01.1.8,01.1.8,1.0
124,سمن فارم 1600ج,01.1.5,01.1.4,1.0
125,نسرين زيت نباتي صافي 15 لتر,01.1.5,01.1.5,1.0
126,خبز فرنسيي,01.1.1,01.1.1,1.0
127,جزر صحن,01.1.7,01.1.6,1.0
128,تفاح كانزىى,01.1.6,01.1.6,1.0
129,اوصال هندي مبرد,01.1.2,01.1.9,1.0
130,فلفل أحمر رومي -كيلو,01.1.7,01.1.7,1.0
131,CARROTS KG,01.1.7,01.1.7,1.0
132,سكر مكعباتت,01.1.8,01.1.8,1.0
133,سمن نباتي القمرية 900 جرام,01.1.5,01.1.5,1.0
134,سكر الاسرة ناعم باغات 5ك,01.1.8,01.1.8,1.0
135,امريكانا غنم مفروم صافي400جم,01.1.2,01.1.9,1.0
136,Local Beef Bone In,01.1.2,01.1.2,1.0
137,شبيه جبن كيري كريمي كاسات 500ج,01.1.4,01.1.4,0.95
138,Eggplant Big,01.1.7,01.1.7,1.0
139,صامولي نخالة,01.1.1,01.1.1,1.0
140,تنمية دجاج طازج,01.1.2,01.1.2,1.0
141,الاسره سكر ناعم 1كيلو,01.1.8,01.1.8,1.0
142,خيار القصيم,01.1.7,01.1.7,1.0
143,تفاح أخضر طازج إيطالي أو شيلي بالكيلو,01.1.6,01.1.6,1.0
144,تفاح احمر,01.1.6,01.1.6,1.0
145,فلفل طرشي كيلو,01.1.7,01.1.7,1.0
146,سكر الاسرة ناعم 5ك 1ك هد,01.1.8,01.1.8,1.0
147,لوز امريكي محمص مالح,01.1.6,01.1.6,1.0
148,جزر كيلو,01.1.7,01.1.6,1.0
149,مازولا سمن نباتى,01.1.5,01.1.5,1.0
150,"1,5 لتر1,5 لترX2 عافية زيت ذرة",01.1.5,01.1.5,1.0
151,نفاع علف حمام مكعب 50ك,09.3.2,01.1.9,0.95
152,بيضة كندر,01.1.8,01.1.4,1.0
153,باونتى حلوي شوكولاتة 57ج,01.1.8,01.1.8,1.0
154,نابيسكو بسكويت بلفيتاكليجابالهيل56ج8حبة,01.1.1,01.1.8,1.0
155,بسكويت شاي ديمة 150ج,01.1.1,01.1.8,1.0
156,كريمة بوك للطبخ 1ل,01.1.4,01.1.5,1.0
157,جزر /كيلو,01.1.7,01.1.6,1.0
158,حلوى شوبا شوبس اكس اكس لارج 29ج,01.1.8,01.1.8,0.95
159,تونا الخير 95 جرام,01.1.3,01.1.3,1.0
160,نور زيت دوار الشمس,01.1.5,01.1.5,1.0
161,زيت نباتي النخلتين 1.5 لتر,01.1.5,01.1.5,1.0
162,تويكس شوكولاتة 50جم,01.1.8,01.1.8,1.0
163,رحيمة بيض 15حبة,01.1.4,01.1.4,1.0
164,جزر -كيس,01.1.7,01.1.6,1.0
165,بسكويت اولكر فينجر 70ج,01.1.8,01.1.9,1.0
166,صندوق موز 3ك,01.1.6,01.1.6,1.0
167,خيار -كيلو,01.1.7,01.1.7,1.0
168,محلي طبيعي منخفض السعرات,01.1.8,01.1.9,0.95
169,CARROTS AUSTRALIA KG,01.1.7,01.1.7,1.0
170,تمر رطب سكري 500ج,01.1.6,01.1.6,1.0
171,Puck Evaporated Milk (48*170Gm),01.1.4,01.1.4,1.0
172,فلفل رومي (فليفلة) أخضر طازج Fresh Green Capsicum,01.1.7,01.1.7,1.0
173,كيري جبنة قابلة للدهن 50,01.1.4,01.1.4,1.0
174,سكر ستفيانا 125جمم,01.1.8,01.1.8,1.0
175,تونة تريفا خفيف 170ج,01.1.9,01.1.3,1.0
176,Kenyan Lamb Cuts Bone In,01.1.2,01.1.2,1.0
177,جبنة رومي زينة,01.1.4,01.1.9,0.95
178,خبز التورتيلا سويتز 250ج,01.1.1,01.1.9,1.0
179,دجاج الفروج الذهبي 1200ج,01.1.2,01.1.2,1.0
180,جبنه لافاشكيري البقره ال,01.1.4,01.1.4,1.0
181,لبنة بوك 650ج,01.1.4,01.1.9,0.95
182,Almonds Rstd Unsltd Medium,01.1.6,01.1.6,1.0
183,لونا فاصوليا بيضاء 380جم,01.1.7,01.1.7,1.0
184,سيارا صدور دجاج طرية 1ك,01.1.2,01.1.2,1.0
185,تونة حدائق كاليفورنيا 160غ,01.1.3,01.1.3,1.0
186,raspberry pack 170 توت احمر 170 جرام,01.1.6,01.1.6,1.0
187,كتف خروف سواكني طازج,01.1.2,01.1.2,1.0
188,باذنجان اسود كبير -كيلو,01.1.7,01.1.7,1.0
189,امريكانا مفروم غنم 400غم 400غ,01.1.2,01.1.9,1.0
190,موز بالكيلو,01.1.6,01.1.6,1.0
191,هالة زيت دوار الشمس 2*1.,01.1.5,01.1.5,1.0
192,CENVIMOX 500 - 1 KG,06.1.1,06.1.1,1.0
193,فلفل أخضر طازج سعودي بالكيلو,01.1.7,01.1.7,1.0
194,تونة هنا خفيف 185ج,01.1.3,01.1.3,1.0
195,حياة زيت نخيل 1.5 لتر,01.1.5,01.1.5,1.0
196,بريزيدن لبنة تركية550ج,01.1.4,01.1.4,1.0
197,خبز مفرود بر,01.1.1,01.1.1,1.0
198,Cashew Nut W320,01.1.6,01.1.6,1.0
199,الراشد خبز أسمر شرائح,01.1.1,01.1.1,1.0
200,30881-Signature Burger,11.1.1,11.1.1,0.95
201,11356-Arabie Regular Chk,01.1.2,01.2.6,0.99
202,ساديا برجر دجاج,01.1.2,11.1.1,0.95
203,تشيز برجر مع البطاطس,11.1.1,11.1.1,0.95
204,أمريكانا 12 برجر الدجاج بالبقسماط 678 جرام Americana 12 Breaded Chicken Burger 678g,01.1.9,11.1.1,0.98
205,3 Pcs Glazed wings,11.1.1,01.1.9,1.0
206,Seara Breaded Chicken Burger (8*840 Gm),01.1.9,01.1.9,1.0
207,Double Cheese Burger,11.1.1,11.1.1,0.95
208,Classic Beef Burger - Burger Type 1 (Regular),11.1.1,11.1.1,0.95
209,وسط-Medium / شاورما دجاج عربي,11.1.1,01.1.9,0.95
210,أمريكانا - برجر لحم بقري باربيكيو - بنكهة جامبو ومدخن 1 كج (10 قطع) Americana BBQ Beef Burger- Jumbo Smokey Flavored 1Kg (10 pcs),01.1.9,01.1.9,1.0
211,Broasted REG,11.1.1,01.1.9,0.95
212,CRISPY BURGER@,11.1.1,11.1.1,0.95
213,Large Stuffed Philly Cheese Steak*,11.1.1,01.1.9,0.99
214,BBQ Chicken Wings,01.1.9,01.1.9,1.0
215,1 small raita salad,01.1.9,01.1.9,1.0
216,ستربس دجاج امريكانا عادي 750ج,01.1.9,11.1.1,1.0
217,4 Pcs Baked Wings,11.1.1,01.1.9,1.0
218,8 Pieces Chicken Kickers,01.1.9,01.1.9,1.0
219,Pepsi Small,01.2.6,01.2.6,1.0
220,Pepsi Med,01.2.6,01.2.6,1.0
221,Pepsi Reg,01.2.6,01.2.6,1.0
222,Chees Steak Box AG,11.1.1,01.1.9,0.95
223,ايرادات مقصف -- مدارس البنات,11.1.2,11.1.2,1.0
224,EMPLYEE MEALS (VAT 15% 143925 Staff),11.1.2,11.1.2,0.98
225,Cali Burger - Cali Burger (Regular),11.1.1,01.1.9,1.0
226,ايجار المقصف المدرسي,04.1.2,11.1.2,1.0
227,Coffee table @ bedrooms Dia.500*H520mm,05.1.1,05.1.1,1.0
228,Bar chair size W520*D570*H1010mm,05.1.1,05.1.1,1.0
229,مقعد كلاسيكي,05.1.1,05.1.1,0.95
230,"100113926 - طقم طاولات جانبية خشبية قطعتين 40*40*50 سم , 35*35*40 سم",05.1.1,05.1.1,1.0
231,خياطة بلوزات المضيفات,03.1.4,03.1.4,0.98
232,ملابس داخلية (null),03.1.2,03.1.2,1.0
233,XL-Sبجامة نسائي مقاس,03.1.2,03.1.2,1.0
234,فنلة ولادي العناني,03.1.2,01.1.9,1.0
235,APPAREL MODESTWEAR ARABIAN DRE,03.1.2,03.1.2,1.0
236,فستان سهر مطرز لول لحمي,03.1.2,03.1.2,1.0
237,سروال فينكس خاص موديل 304 18 2XL,03.1.2,03.1.2,1.0
238,اجور قص و فرد وترقيم,13.1.3,05.6.2,1.0
239,شاي الكبوس فلة 227ج,01.2.3,01.2.3,1.0
240,بيرة موسي خوخ زجاج 330مل,01.2.6,02.1.3,1.0
241,2جمX100 شاهي ليبتون,01.2.3,01.2.3,1.0
242,شاي ربيع المذاق الاقوى 1,01.2.3,01.2.3,1.0
243,كود رد 250مل,01.2.6,01.2.9,0.95
244,شاي الكبوس 100ح,01.2.3,01.2.3,0.99
245,شراب بربيكان رمان علب 250ملل,01.2.6,01.1.9,0.95
246,CARBONATED DRINK ZERO CALORIES 250 ML COCA COLA ZERO CALORIES,01.2.6,01.2.6,1.0
247,لبن صغير 180مل Small Laban,01.1.4,01.1.4,1.0
248,Miranda Citrus Can (24*320Ml),01.2.6,01.2.9,1.0
249,شاي بروك بوند كيس 100ح,01.2.3,01.2.3,1.0
250,كولا 355مل cola 355ml,01.2.6,01.2.6,1.0
251,ليبتون خوخ زيرو زيرو سكر,01.2.3,01.2.3,1.0
252,شراب هنتز كاكاو علب 125ج,01.2.4,01.2.4,1.0
253,250ملx6 كوكا كولا قوارير,01.2.6,01.2.6,1.0
254,زيت ذرة نور 750مل,01.1.5,01.1.5,1.0
255,سفن أب صودا دايت(بدون سكر) 330-355 مل,01.2.6,01.2.6,1.0
256,كود رد مشروب طاقةرد مشروب طاقة,01.2.6,01.2.9,0.95
257,ليبتون ايس تي خوخ 240 مل,01.2.6,01.2.3,0.99
258,ليبتون شاى مثلج تروبيكا فر,01.2.3,01.2.6,1.0
259,موسي 330مل,01.2.6,01.2.6,1.0
260,شاي ليبتون حافظ نكهة كيس 100ح,01.2.3,01.2.3,1.0
261,هاينكن مشروب شعيرخالي من كحول,01.2.9,01.2.6,1.0
262,Coke Light - 330 ml,01.2.6,01.2.6,1.0
263,بيره موسيي,01.2.6,02.1.3,1.0
264,بيبسى علب 325مل,01.2.6,01.2.6,1.0
265,هولتسن رمان 330مل,01.2.6,01.2.9,1.0
266,مشروب كود رد طاقة 250مل,01.2.6,01.2.6,1.0
267,ريدبول مشروب الطاقة 250مل250مل,01.2.6,01.2.9,1.0
268,المراعي عصير التفاح بدون سكر 200مل,01.2.1,01.2.1,1.0
269,ميرندا حمضيات زجاج 250مل,01.2.6,01.2.6,1.0
270,بيبسى زيرو شد 6X320 مل,01.2.6,01.2.6,1.0
271,ALMARAI JCE 200ML MIX F,01.2.1,01.2.9,0.95
272,Marai Laban Strawberry 340ml,01.1.4,01.2.1,0.98
273,ALMARAI JCE 300ML MANGO,01.2.1,01.2.1,0.98
274,BARBICAN C/POMEG 250ML 1*24,01.2.6,01.2.1,1.0
275,شاي الكبوس 100 خيط,01.2.3,01.2.3,1.0
276,بيرة موسي زجاج 330مل,01.2.6,02.1.3,1.0
277,Diet 7-UP CAN,01.2.6,01.2.6,1.0
278,شراب بربيكان شعير علب,01.2.6,02.1.1,1.0
279,شاني كويتي150ملم,01.2.6,01.1.4,1.0
280,MIRINDA CITRUS CAN 30x240ML,01.2.6,01.2.6,1.0
281,بيرة بربيكان رمان علب 250مل,01.2.6,02.1.3,1.0
282,موسي تفاح 330مل,01.2.6,01.2.1,1.0
283,بيرة موسي ليمون ونعناع 330مل,01.2.6,02.1.3,1.0
284,سفن اب عائلى لتر زيرو سكر,01.2.6,01.2.5,1.0
285,شاي ربيع الاقوي كيس 100ح,01.2.3,01.2.3,1.0
286,سفن أب صودا بدون سكر 325 مل,01.2.6,01.2.6,1.0
287,بيرة بربيكان فراولة علب 250مل,01.2.6,02.1.3,1.0
288,باربيكان شراب الشعير بالتفاح 250 مل,01.2.6,01.2.9,0.95
289,ليبتون ايس تي ليمون ونعناع 240 مل,01.2.6,01.2.6,1.0
290,شاي زوي مانجو المثلج 320 مل B0D2W6HH24,01.2.6,01.2.3,0.95
291,بيبسي 6*250مل,01.2.6,01.2.6,1.0
292,بيبسي علبة 355مل,01.2.6,01.2.6,1.0
293,DEW FAMILY 2.25LTR,01.2.6,01.2.6,0.95
294,بيرة موسي توت احمر زجاج 330مل,01.2.6,02.1.3,1.0
295,ليبتون توت زيرو سكرر,01.2.6,01.2.3,1.0
296,شاي الكبوس كيس 100ح,01.2.3,01.2.3,1.0
297,سبرايت صودا زيرو سعرات حرارية 320 مل,01.2.6,01.2.6,1.0
298,كود رد علب 185 مل,01.2.6,05.6.2,0.95
299,بيبسي ماكس 320 مل,01.2.6,01.2.6,0.95
300,بيبسي صودا دايت علبة 330-355 مل,01.2.6,01.2.6,1.0
301,سباحة - شهر,09.4.6,09.4.6,0.95
302,"Rayan Female (الريان نسائي) 12F upfront membership (اشتراك 12 شهر مسبق الدفع) v2 for 2025-03 (discount 1,299.50 by 20% Off Founding day 2025)",09.4.6,09.4.6,0.95
303,LADIES FT - HOME RATE - 3 MONTHS ليديز فتنس - مركز محدد - 3 أشهر: Subscription changed LADIES FT - HOME RATE - 3 MONTHS ليديز فتنس - مركز محدد - 3 أشهر: Subscription changed,09.4.6,09.4.6,1.0
304,LADIES FT - 3 MONTHS ليديز فتنس - 3 أشهر: Subscription changed LADIES FT - 3 MONTHS ليديز فتنس - 3 أشهر: Subscription changed,09.4.6,09.4.6,0.95
305,ICU Services Adult/Pediatric FOR MOH,06.3.1,06.3.1,1.0
306,Root canal treatment molar,06.2.2,06.2.2,1.0
307,خلع ضرس عقل ظاهر بسيط,06.2.2,06.2.2,1.0
308,DENTAL FOLLOW UP,06.2.2,06.2.2,1.0
309,Free Follow Up CONSULTATION DENTIST كشف طبيب أسنان,06.2.2,06.2.2,1.0
310,كشف طبيMOHAMED TALAAT ATIA HAMED,06.2.3,06.2.1,0.95
311,CANDIDA AURIS SCREENING (GROIN),06.4.1,06.2.1,0.95
312,غطاء منضدة (null),05.2.1,05.1.1,0.95
313,المجلد 1 تفسير سورة الفاتحة وسورة البقرة حتى الآيه 158 Job: 202543,09.7.1,09.7.1,0.98
314,التوجهات الإبداعية,0.0.0,13.9.0,0.75
315,مزيل عرق رول اون,13.1.2,05.6.1,0.95
316,Koleston Hair Color Platinum Blonde Developer 310/0,13.1.2,13.1.2,1.0
317,صالون سستم قناع انف 20,13.1.2,13.1.3,0.95
318,محمود سعيد مثبت الشعر بخاخ العادي برينسس الذهبي - 90 مل,13.1.2,13.1.2,0.95
319,خدمات FACES-BEAUTYSTUDIO:BEAUTY ROOM,13.1.3,13.1.3,0.95
320,BLONDING EYEBROWS,13.1.3,13.1.3,0.95
321,خدمة عروسة بديكير منيكير,13.1.3,13.1.3,0.98
322,اورال بي فرشاه اسنان ناعمه 12*1 Oral-B T/B Pro Expert Clinic Line Soft 12X1Pc,13.1.2,13.1.2,1.0
323,FREON R-22 13.6KG REFRON MADE IN INDIA -FR22RFR,04.3.1,04.3.1,0.95
324,فحم الشعلة مكعبات كبير,04.5.4,04.5.4,1.0
325,استهلاك كهرباء من2024/11/01حتي2024/12/31,04.5.1,04.5.1,1.0
326,فحم الشرارة اسود,04.5.4,05.6.1,0.95
327,فحم 30 حبة,04.5.4,04.5.4,1.0
328,NITROGEN GASغاز النيتروجين,04.5.5,04.5.2,0.95
329,MEMORY GAME Del,09.2.1,09.2.1,0.95
330,نفاع علف حمام مكعب 50 ك,09.3.2,01.1.9,0.95
331,رمل قطط فريش 20 ك - كيس,09.3.2,05.6.1,1.0
332,1STNEEDS KIT MODE GRANULAR طقم شدادات لجهاز الغوص,09.2.2,09.2.2,0.95
333,توريد وزراعة اشجار وصباريات وازهار (بنسيانا -الوفيرا -اكليل الجبل -اكاسيا - صباريات- جلد نمر - صباريات امريكي -صباريات صحراوية ) للمشهد الحضري,09.3.1,05.6.1,0.95
334,GT XT Rescue Harness - CAMP,09.2.2,09.2.2,0.95
335,MEMORY GAME TG,09.2.1,09.2.1,0.95
336,العاب اطفال AY-26,09.2.1,09.2.1,1.0
337,52044 - قطه,09.3.2,09.3.2,0.95
338,سماد أحماض أمينية 10 كيلو,09.3.1,05.6.1,0.95
339,ZAJ LITTER,09.3.2,05.6.1,0.95
340,كيس سماد 20 / 20 / 20,09.3.1,05.6.1,0.95
341,جاردن اوليان ليفة مغ,13.1.2,01.2.3,0.95
342,لعبه اطفال 557-12,09.2.1,09.2.1,1.0
343,610D SUPER XL DOG TRAP ‐ 72 X 25 X 32 WITH REAR SLIDING DOOR AND WIRE MESH TRIP PAN,09.3.2,09.3.2,1.0
344,عشب ارضي مخلوط شبه طبيعي 48 مم 252 AE03,09.3.1,05.5.2,0.95
345,قفص دواجن حي لون أصفر مع باب أبيض,09.3.2,05.5.2,0.95
346,Rainbow Flowers Bouquet Rainbow Flowers Bouquet,09.3.1,09.3.1,1.0
347,"SAMSUNG OLED TV, 83 INCH, 4K A I UPSCALING, 120HZ, ANTI-REFLE",08.1.4,09.1.4,1.0
348,Dell Precision 3680 Intel Core i9 14th Gen 14900 1TB SSD 2TB 32GB DDR5 NVIDIA T1000 8 GB Win 11 Pro - Pcs,08.1.3,08.1.3,0.99
349,SanDisk Dual Drive Type 3.1 64GB,08.1.3,08.1.9,0.95
350,Samsung 65inch UHD Tv,08.1.4,09.1.2,1.0
351,"75-Inch QLED 4K Ultra HD HDR Google TV (Google Assistant, Dolby Atmos, Dolby Vision, HDR10, 60Hz Game Accelerator, Motion Clarity, 2025 (New Model) 75P7k black",08.1.4,09.1.4,1.0
352,كاميرا جداري مدور MC9058,08.1.4,04.3.1,0.95
353,Nissan Xtrail - Plate: ر ا د - 5878 VIN: JN1BT2MW4MW019294,07.1.1,07.1.1,1.0
354,فورد تورس امبيانتى 2.0 ن- صيانة مجانية,07.1.1,07.1.1,1.0
355,زيت فرامل اصلي موبار,07.2.2,07.2.2,0.95
356,KIMHI Changan L7 front brake pads فحمات أمامي شانجان L7,07.2.1,07.2.1,0.99
357,زيت فرامل اصلي موبار -شارجر /كلزلر-شالنجر -جيب,07.2.2,07.2.2,1.0
358,كوع دركسون-4 خارجي يسار,07.2.1,05.5.2,0.95
359,مقص امامي فوق يسار درانجو اصلي 2015,07.2.1,05.5.2,0.95
360,0W20 زيت مكينة موبار اصلي,07.2.2,07.2.2,1.0
361,مساعد امامي شارجر - كرايسلر 2 -2011-2020,07.2.1,07.2.1,1.0
362,صحن ذهبي قاعدة خشب S3-313,05.4.0,05.4.0,0.95
